path,anneal_temperature,anneal_time,anneal_time_unit,cool_method,magnification,primary_microconstituent,filename,full_path,file_exists
micrograph1435.png,970,5,M,FC,4910X,spheroidite+widmanstatten,Croppedmicrograph1435.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1435.png,True
micrograph1018.png,970,90,M,Q,1964X,spheroidite,Croppedmicrograph1018.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1018.png,True
micrograph1571.png,970,24,H,Q,1964X,spheroidite,Croppedmicrograph1571.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1571.png,True
micrograph375.png,970,5,M,FC,9820X,spheroidite,Croppedmicrograph375.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph375.png,True
micrograph1633.png,970,3,H,Q,1964X,spheroidite,Croppedmicrograph1633.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1633.png,True
micrograph679.png,900,90,M,Q,4910X,spheroidite,Croppedmicrograph679.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph679.png,True
micrograph124.png,800,3,H,Q,1964X,spheroidite,Croppedmicrograph124.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph124.png,True
micrograph104.png,970,90,M,AR,982x,spheroidite,Croppedmicrograph104.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph104.png,True
micrograph1337.png,800,85,H,Q,4910X,spheroidite,Croppedmicrograph1337.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1337.png,True
micrograph1045.png,970,24,H,Q,1964X,spheroidite,Croppedmicrograph1045.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1045.png,True
micrograph1199.png,970,90,M,Q,3437X,spheroidite,Croppedmicrograph1199.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1199.png,True
micrograph659.png,800,5,M,Q,98x,network,Croppedmicrograph659.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph659.png,True
micrograph1580.png,800,85,H,Q,1964X,spheroidite,Croppedmicrograph1580.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1580.png,True
micrograph367.png,800,85,H,Q,1964X,spheroidite,Croppedmicrograph367.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph367.png,True
micrograph2.png,800,85,H,Q,1964X,spheroidite,Croppedmicrograph2.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph2.png,True
micrograph495.png,970,3,H,Q,982x,spheroidite,Croppedmicrograph495.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph495.png,True
micrograph86.png,970,3,H,Q,118x,network,Croppedmicrograph86.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph86.png,True
micrograph1356.png,800,8,H,Q,1964X,spheroidite,Croppedmicrograph1356.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1356.png,True
micrograph1129.png,970,90,M,Q,491x,spheroidite+widmanstatten,Croppedmicrograph1129.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1129.png,True
micrograph858.png,800,8,H,Q,4910X,spheroidite,Croppedmicrograph858.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph858.png,True
micrograph906.png,900,24,H,Q,982x,spheroidite,Croppedmicrograph906.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph906.png,True
micrograph1092.png,800,3,H,Q,982x,spheroidite,Croppedmicrograph1092.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1092.png,True
micrograph1136.png,970,8,H,Q,3437X,spheroidite,Croppedmicrograph1136.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1136.png,True
micrograph314.png,970,5,M,FC,2455X,spheroidite+widmanstatten,Croppedmicrograph314.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph314.png,True
micrograph1411.png,800,24,H,Q,982x,spheroidite,Croppedmicrograph1411.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1411.png,True
micrograph626.png,970,90,M,FC,98X,network,Croppedmicrograph626.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph626.png,True
micrograph873.png,900,90,M,Q,982x,spheroidite+widmanstatten,Croppedmicrograph873.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph873.png,True
micrograph1265.png,800,8,H,Q,4910X,spheroidite,Croppedmicrograph1265.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1265.png,True
micrograph24.png,970,90,M,Q,98x,network,Croppedmicrograph24.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph24.png,True
micrograph1603.png,970,3,H,Q,98x,network,Croppedmicrograph1603.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1603.png,True
micrograph489.png,970,90,M,Q,,spheroidite,Croppedmicrograph489.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph489.png,True
micrograph1015.png,800,8,H,Q,4910X,spheroidite,Croppedmicrograph1015.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1015.png,True
micrograph257.png,970,24,H,Q,638x,spheroidite,Croppedmicrograph257.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph257.png,True
micrograph1677.png,970,3,H,Q,1964X,spheroidite,Croppedmicrograph1677.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1677.png,True
micrograph231.png,900,3,H,Q,982x,spheroidite,Croppedmicrograph231.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph231.png,True
micrograph233.png,800,3,H,Q,982x,spheroidite+widmanstatten,Croppedmicrograph233.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph233.png,True
micrograph76.png,800,24,H,Q,1964X,spheroidite,Croppedmicrograph76.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph76.png,True
micrograph1109.png,900,90,M,Q,98x,network,Croppedmicrograph1109.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1109.png,True
micrograph598.png,900,90,M,Q,982x,spheroidite,Croppedmicrograph598.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph598.png,True
micrograph687.png,970,24,H,Q,98X,network,Croppedmicrograph687.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph687.png,True
micrograph382.png,800,24,H,Q,1964X,spheroidite,Croppedmicrograph382.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph382.png,True
micrograph133.png,1000,5,M,Q,98X,network,Croppedmicrograph133.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph133.png,True
micrograph1017.png,900,3,H,Q,982x,spheroidite,Croppedmicrograph1017.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1017.png,True
micrograph1257.png,900,3,H,Q,1178X,spheroidite,Croppedmicrograph1257.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1257.png,True
micrograph1579.png,900,90,M,Q,1964X,spheroidite,Croppedmicrograph1579.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1579.png,True
micrograph776.png,970,90,M,Q,4910X,spheroidite,Croppedmicrograph776.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph776.png,True
micrograph1006.png,900,90,M,Q,4910X,spheroidite,Croppedmicrograph1006.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1006.png,True
micrograph376.png,800,8,H,Q,4910X,spheroidite,Croppedmicrograph376.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph376.png,True
micrograph1415.png,900,3,H,Q,1964X,spheroidite+widmanstatten,Croppedmicrograph1415.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1415.png,True
micrograph633.png,800,3,H,Q,1964X,spheroidite,Croppedmicrograph633.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph633.png,True
micrograph1285.png,800,85,H,Q,982x,spheroidite,Croppedmicrograph1285.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1285.png,True
micrograph53.png,970,90,M,Q,1964X,spheroidite,Croppedmicrograph53.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph53.png,True
micrograph705.png,800,85,H,Q,982x,spheroidite,Croppedmicrograph705.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph705.png,True
micrograph32.png,970,24,H,Q,982x,spheroidite,Croppedmicrograph32.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph32.png,True
micrograph221.png,970,5,M,FC,1473X,spheroidite+widmanstatten,Croppedmicrograph221.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph221.png,True
micrograph1583.png,970,90,M,FC,98X,network,Croppedmicrograph1583.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1583.png,True
micrograph326.png,970,8,H,Q,3437X,spheroidite,Croppedmicrograph326.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph326.png,True
micrograph1164.png,970,90,M,FC,982x,spheroidite,Croppedmicrograph1164.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1164.png,True
micrograph1201.png,970,24,H,Q,3437x,spheroidite,Croppedmicrograph1201.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph1201.png,True
micrograph998.png,800,8,H,Q,,spheroidite,Croppedmicrograph998.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph998.png,True
micrograph402.png,970,24,H,Q,1964X,spheroidite,Croppedmicrograph402.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph402.png,True
micrograph148.png,900,90,M,Q,3437x,spheroidite,Croppedmicrograph148.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph148.png,True
micrograph48.png,800,90,M,Q,1964X,spheroidite,Croppedmicrograph48.png,C:\Users\hp\Downloads\archive\For Training\Cropped\Croppedmicrograph48.png,True
